car name;price;engine_capacity;cylinder;horse_power;top_speed;seats;brand;country
Hyundai Tucson 2022 1.6L T-GDI Smart Plus MHEV (AWD);EGP 490,000;1600;4;180;200;5 Seater;hyundai;egypt
Hyundai Tucson 2021 1.6L T-GDI TLe Midline (FWD);EGP 469,900;1600;4;175;200;5 Seater;hyundai;egypt
Hyundai Tucson 2022 1.6L T-GDI Premium MHEV (AWD);EGP 615,000;1600;4;180;200;5 Seater;hyundai;egypt
Skoda Superb 2021 1.4 TSI Ambition;EGP 585,000;1395;4;150;220;5 Seater;skoda;egypt
Hyundai Tucson 2021 1.6 T-GDI TLe Limited (FWD);EGP 564,900;1600;4;175;200;5 Seater;hyundai;egypt
Hyundai Tucson 2022 1.6L T-GDI Modern MHEV (AWD);EGP 525,000;1600;4;180;200;5 Seater;hyundai;egypt
Skoda Superb 2021 1.4 TSI Dynamic;EGP 520,000;1395;4;150;220;5 Seater;skoda;egypt
Hyundai Tucson 2022 1.6L T-GDI Smart MHEV (AWD);EGP 460,000;1600;4;180;200;5 Seater;hyundai;egypt
Audi A4 2021 40 TFSI S-line Plus (190 HP);EGP 930,000;1984;4;190;240;5 Seater;audi;egypt
Mercedes-Benz CLA-Class 2021 CLA 180;EGP 715,000;1300;4;136;201;5 Seater;mercedes-benz;egypt
Jaguar XF 2021 2.0T SE (250 PS);EGP 1,350,000;1997;4;247;244;5 Seater;jaguar;egypt
BMW X4 2021 xDrive 30i;EGP 1,500,000;1997;4;252;240;5 Seater;bmw;egypt
Mercedes-Benz CLA-Class 2021 CLA 200;EGP 815,000;1300;4;163;201;5 Seater;mercedes-benz;egypt
Jaguar XF 2021 2.0T R-Dynamic SE (250 PS) AWD;EGP 1,490,000;1997;4;250;244;5 Seater;jaguar;egypt
Audi A4 2021 40 TFSI S-line (190 HP);EGP 890,000;1984;4;190;240;5 Seater;audi;egypt
Jaguar XF 2021 2.0T R-Dynamic SE (250 PS);EGP 1,390,000;1997;4;250;244;5 Seater;jaguar;egypt
Mercedes-Benz S-Class 2021 S 450;EGP 3,270,000;2987;6;367;250;5 Seater;mercedes-benz;egypt
Aston Martin Vantage 2021 4.0T V8;EGP 4,750,000;4000;8;503;314;2 Seater;aston-martin;egypt
Audi Q7 2021 40 TFSI Premium Quattro (252 HP);EGP 1,575,000;1984;4;252;210;5 Seater;audi;egypt
Jaguar F-Type Coupe 2021 2.0T R-Dynamic (300 PS);EGP 1,690,000;1997;4;300;250;2 Seater;jaguar;egypt
Jeep Grand Cherokee 2021 Limited 5.7L;EGP 1,150,000;5700;8;350;181;5 Seater;jeep;egypt
Mercedes-Benz S-Class 2021 S 560;EGP 3,990,000;3982;8;469;250;5 Seater;mercedes-benz;egypt
Porsche Cayenne Coupe 2021 GTS;EGP 3,034,915;3600;6;440;261;5 Seater;porsche;egypt
Bentley Flying Spur 2021 4.0T V8;EGP 9,910,000;3993;8;542;318;5 Seater;bentley;egypt
Porsche Cayenne Coupe 2021 Base;EGP 2,216,460;2995;6;340;243;5 Seater;porsche;egypt
Bentley Bentayga 2021 6.0L W12;EGP 9,200,000;5950;12;600;301;5 Seater;bentley;egypt
Bentley Continental GT Convertible 2021 V8;EGP 10,620,000;4000;8;542;301;4 Seater;bentley;egypt
Porsche 911 2021 Carrera Cabriolet;EGP 2,990,790;3000;6;385;289;4 Seater;porsche;egypt
Bentley Continental GT 2021 4.0T V8;EGP 10,190,000;6000;8;542;318;4 Seater;bentley;egypt
BMW 7 Series 2021 740Li;EGP 2,600,000;2998;6;326;250;5 Seater;bmw;egypt
Porsche Cayenne Coupe 2021 S;EGP 2,693,000;2894;6;440;263;5 Seater;porsche;egypt
Porsche 911 2021 Carrera;EGP 2,677,560;2981;6;385;291;4 Seater;porsche;egypt
Porsche Panamera 2021 3.0L 4 Executive;EGP 3,084,600;2995;6;325;265;4 Seater;porsche;egypt
Porsche Panamera 2021 4 E-Hybrid;EGP 3,195,900;2894;6;462;278;4 Seater;porsche;egypt
Porsche 911 2021 Targa 4;EGP 3,696,486;3400;6;350;280;4 Seater;porsche;egypt
Porsche Panamera 2021 4S Executive;EGP 3,507,540;2995;6;435;289;4 Seater;porsche;egypt
Porsche Panamera 2021 Turbo;EGP 4,736,610;3996;8;550;306;4 Seater;porsche;egypt
Porsche Cayenne Coupe 2021 Turbo;EGP 3,941,610;3996;8;550;286;5 Seater;porsche;egypt
Porsche Panamera 2021 4 E-Hybrid Executive;EGP 3,394,650;2894;6;462;278;4 Seater;porsche;egypt
Porsche Panamera 2021 Base;EGP 2,703,000;2995;6;330;264;4 Seater;porsche;egypt
Porsche Panamera 2021 4S;EGP 3,181,590;2894;6;440;289;4 Seater;porsche;egypt
Porsche Panamera 2021 3.0L 4;EGP 2,814,300;2995;6;325;265;4 Seater;porsche;egypt
JAC S4 2021 1.5T Ultimate;BHD 5,595;1.5;4;147;170;5 Seater;jac;bahrain
Honda HR-V 2021 1.8 i-VTEC DX;BHD 6,499;1.8;4;140;190;5 Seater;honda;bahrain
Honda HR-V 2021 1.8 i-VTEC EX;BHD 8,200;1.8;4;140;190;5 Seater;honda;bahrain
Peugeot Expert 2021 Combi L3 A/T (6 seater);BHD 10,495;2;4;120;170;6 Seater;peugeot;bahrain
Volkswagen Golf GTI 2021 2.0T S;BHD 15,999;2;4;245;210;5 Seater;volkswagen;bahrain
Chevrolet Corvette 2021 6.2L 3LT Coupe;BHD 43,000;6.2;8;495;312;2 Seater;chevrolet;bahrain
Toyota Corolla 2021 2.0L GLI Moonroof;BHD 8,925;2;4;168;200;5 Seater;toyota;bahrain
MG HS 2021 2.0T Luxury (AWD);BHD 8,924;2;4;231;210;5 Seater;mg;bahrain
Toyota Corolla 2021 1.6L XLI;BHD 6,720;1.6;4;121;190;5 Seater;toyota;bahrain
Toyota Supra 2021 3.0T Blue Limited Edition;BHD 21,000;3;6;382;250;2 Seater;toyota;bahrain
Toyota Corolla 2021 2.0L XLI;BHD 7,455;2;4;168;200;5 Seater;toyota;bahrain
Toyota Corolla 2021 1.8L XLI Hybrid;BHD 8,820;1.8;4;121;190;5 Seater;toyota;bahrain
Toyota Supra 2021 3.0T GR;BHD 20,790;3;6;382;250;2 Seater;toyota;bahrain
Kia Sportage 2021 1.6L LX (FWD);BHD 7,495;1.6;4;132;181;5 Seater;kia;bahrain
Ford Escort 2021 1.5L Ambient;BHD 6,000;1.5;3;120;184;5 Seater;ford;bahrain
Hyundai Kona 2021 2.0L Limited;BHD 8,100;2;4;150;194;5 Seater;hyundai;bahrain
Lincoln Nautilus 2021 2.0T (250 Hp);BHD 19,995;2;6;250;230;5 Seater;lincoln;bahrain
Lexus UX 200 2021 F Sport Platinum;BHD 18,500;2;4;169;180;4 Seater;lexus;bahrain
Lexus UX 200 2021 Premier;BHD 16,590;2;4;169;180;4 Seater;lexus;bahrain
Lincoln Nautilus 2021 2.7T V6 Select (335 Hp);BHD 23,000;2.7;6;335;250;5 Seater;lincoln;bahrain
GAC GS7 2021 2.0T GL;BHD 9,000;2;4;201;200;5 Seater;gac;bahrain
Peugeot 508 2021 1.6T Active+;BHD 10,995;1.6;4;180;230;5 Seater;peugeot;bahrain
Peugeot 508 2021 1.6T GT Line;BHD 13,495;1.6;4;165;220;5 Seater;peugeot;bahrain
GAC GS7 2021 2.0T GE;BHD 8,350;2;4;201;200;5 Seater;gac;bahrain
Maxus D90 2021 2.0T Executive Luxury (4WD);BHD 10,200;2;4;225;175;7 Seater;maxus;bahrain
Mazda CX-30 2021 2.0L Classic 4x2;BHD 9,000;2;4;155;192;5 Seater;mazda;bahrain
Mazda CX-30 2021 2.0L Urban AWD;BHD 11,000;2;4;155;192;5 Seater;mazda;bahrain
Maxus D90 2021 2.0T Elite (2WD);BHD 8,995;2;4;225;185;7 Seater;maxus;bahrain
McLaren Senna 2021 4.0T V8 Coupe;BHD 510,500;4;8;800;335;2 Seater;mclaren;bahrain
Jetour X70 2021 1.5T Comfort;BHD 6,995;1.5;4;156;180;7 Seater;jetour;bahrain
MG 6 2021 1.5T LUX;BHD 7,349;1.5;4;169;180;5 Seater;mg;bahrain
Jetour X90 2021 1.6T Luxury;BHD 8,495;1.6;4;194;185;7 Seater;jetour;bahrain
Ferrari F8 Tributo 2021 3.9T V8;BHD 96,570;3.9;8;710;340;2 Seater;ferrari;bahrain
Peugeot 508 2021 1.6T GT;BHD 13,995;1.6;4;225;220;5 Seater;peugeot;bahrain
Toyota Supra 2021 2.0T GR;BHD 17,850;2;4;255;250;2 Seater;toyota;bahrain
Ferrari F8 Spider 2021 3.9T V8;BHD 106,800;3.9;8;710;340;2 Seater;ferrari;bahrain
Toyota C HR 2021 1.8L VX Hybrid;BHD 9,765;1.8;4;121;170;5 Seater;toyota;bahrain
Peugeot 508 2021 1.6T Allure+;BHD 12,495;1.6;4;165;220;5 Seater;peugeot;bahrain
Peugeot 2008 2021 1.2T (130HP) Allure+;BHD 9,595;1.2;3;130;200;5 Seater;peugeot;bahrain
McLaren 765LT 2021 4.0T V8;BHD 154,000;4;8;755;330;2 Seater;mclaren;bahrain
Peugeot 508 2021 1.6T GT (S);BHD 14,495;1.6;4;217;220;5 Seater;peugeot;bahrain
Peugeot 2008 2021 1.2T (155HP) GT;BHD 10,495;1.2;3;155;208;5 Seater;peugeot;bahrain
Peugeot 2008 2021 1.6L (115HP) Active+;BHD 7,995;1.6;4;115;200;5 Seater;peugeot;bahrain
Jetour X90 2021 1.6T Standard;BHD 7,995;1.6;4;194;185;7 Seater;jetour;bahrain
Peugeot 2008 2021 1.6L (115HP) Allure+;BHD 8,595;1.6;4;115;200;5 Seater;peugeot;bahrain
Chery Tiggo8 Pro 2021 2.0T Comfort;BHD 7,820;2;4;170;200;7 Seater;chery;bahrain
Chery Tiggo8 Pro 2021 1.6T GDI Flagship;BHD 9,120;1.6;4;185;200;7 Seater;chery;bahrain
Chery Tiggo8 Pro 2021 1.6T GDI Intelligent;BHD 9,620;1.6;4;185;200;7 Seater;chery;bahrain
BAIC A115 Hatchback 2021 1.5L Basic;BHD 3,700;1.5;4;113;170;5 Seater;baic;bahrain
Great Wall Wingle 5 2021 2.2L Double Cabin Standard;BHD 5,900;2.2;4;105;140;5 Seater;great-wall;bahrain
BAIC A115 Hatchback 2021 1.5L Fashion;BHD 4,200;1.5;4;113;170;5 Seater;baic;bahrain
Kia Picanto 2021 1.2L Base;BHD 4,495;1.2;4;84;161;5 Seater;kia;bahrain
Kia Picanto 2021 1.2L Top;BHD 5,200;1.2;4;84;161;5 Seater;kia;bahrain
BAIC A115 Hatchback 2021 1.5L Comfort;BHD 3,900;1.5;4;113;170;5 Seater;baic;bahrain
Mitsubishi Attrage 2021 1.2 GLX (Base);BHD 4,000;1.2;3;76;170;5 Seater;mitsubishi;bahrain
Chery Arrizo 3 2021 1.5L Baisc;BHD 3,995;1.5;4;107;175;5 Seater;chery;bahrain
Hyundai Accent 2021 1.4L Base;BHD 5,300;1.4;4;100;183;5 Seater;hyundai;bahrain
Suzuki Dzire 2021 1.2L GLX;BHD 4,500;1.2;4;82;170;5 Seater;suzuki;bahrain
Bestune B50 2021 1.6L Elegant;BHD 5,100;1.6;4;107;162;5 Seater;bestune;bahrain
Skoda Fabia 2021 1.0 TSI Active;BHD 6,100;1;3;110;195;5 Seater;skoda;bahrain
Foton Tunland 2021 2.4L Double Cabin (4X2);BHD 5,600;2.4;4;136;160;5 Seater;Foton;bahrain
Suzuki Ertiga 2021 1.5L GL;BHD 4,800;1.5;4;103;170;7 Seater;suzuki;bahrain
Foton Tunland 2021 2.4L Single Cabin (4X2);BHD 4,999;2.4;4;136;160;2 Seater;Foton;bahrain
Suzuki Baleno 2021 1.4L GL;BHD 4,800;1.4;4;91;170;5 Seater;suzuki;bahrain
Suzuki Baleno 2021 1.4L GLX;BHD 5,000;1.4;4;91;170;5 Seater;suzuki;bahrain
Ford Figo 2021 1.5L Ambiente H/B;BHD 5,000;1.5;4;110;175;5 Seater;ford;bahrain
Peugeot 301 2021 1.6L Access;BHD 5,995;1.6;4;115;188;5 Seater;peugeot;bahrain
Peugeot 301 2021 1.6L Allure;BHD 6,995;1.6;4;115;180;5 Seater;peugeot;bahrain
Ford Figo 2021 1.5L Trend H/B;BHD 5,700;1.5;4;110;175;5 Seater;ford;bahrain
Renault Megane 2021 1.6L PE;BHD 5,980;1.6;4;115;180;5 Seater;renault;bahrain
Chery Tiggo7 2021 2.0L Comfort;BHD 6,295;2;4;121;165;5 Seater;chery;bahrain
King Long Panel Van 2021 2.3L Standard;BHD 5,700;2.2;4;102;120;2 Seater;kinglong;bahrain
Hyundai Creta 2021 1.6L Basic;BHD 6,451;1.6;4;121;169;5 Seater;hyundai;bahrain
Suzuki Ertiga 2021 1.5L GLX;BHD 5,100;1.5;4;103;170;7 Seater;suzuki;bahrain
Fiat 500 2021 1.4L Hatch POP;BHD 6,500;1.4;4;100;182;4 Seater;fiat;bahrain
Hyundai Accent 2021 1.6L Mid Option;BHD 6,450;1.6;4;130;193;5 Seater;hyundai;bahrain
Toyota Avanza 2021 1.5L GLS (commercial);BHD 6,300;1.5;4;102;180;2 Seater;toyota;bahrain
Mitsubishi L200 2021 2.4L Single Cab GL (2WD);BHD 6,000;2.4;4;128;169;3 Seater;mitsubishi;bahrain
Kia Cerato Hatchback 2021 2.0L Base;BHD 7,795;2;4;150;190;5 Seater;kia;bahrain
Toyota Yaris Sedan 2021 1.5L SE;BHD 6,200;1.5;4;105;175;5 Seater;toyota;bahrain
Toyota Hilux 2021 2.0L Single Cab 4x2;BHD 7,350;2;4;134;170;3 Seater;toyota;bahrain
Haval H2 2021 1.5T Intelligent;BHD 5,799;1.5;4;148;170;5 Seater;haval;bahrain
Peugeot 208 2021 Active Plus;BHD 7,995;1.6;4;120;180;5 Seater;peugeot;bahrain
Kia Rio Hatchback 2021 1.6L MPI;BHD 5,695;1.6;4;123;190;5 Seater;kia;bahrain
Peugeot 208 2021 1.6L GT Line;BHD 8,995;1.6;4;115;190;5 Seater;peugeot;bahrain
Haval H6 2021 Intelligent;BHD 6,799;2;4;197;170;5 Seater;haval;bahrain
Nissan Navara 2021 2.5L ASF 4x2 M/T;BHD 8,595;2.5;4;158;160;6 Seater;nissan;bahrain
Kia Rio Hatchback 2021 1.6L MPI Highline;BHD 6,700;1.6;4;123;190;5 Seater;kia;bahrain
Hyundai Creta 2021 1.6L Mid;BHD 7,925;1.6;4;121;169;5 Seater;hyundai;bahrain
Hyundai Accent 2021 1.6L High;BHD 7,000;1.6;4;123;193;5 Seater;hyundai;bahrain
Toyota Yaris 2021 1.5L SE+ (Hatchback);BHD 6,090;1.5;4;106;175;5 Seater;toyota;bahrain
Haval H2 2021 1.5T Luxury;BHD 7,000;1.5;4;148;170;5 Seater;haval;bahrain
Mitsubishi ASX 2021 2.0L GLX (2WD);BHD 7,000;2;4;150;193;5 Seater;mitsubishi;bahrain
SsangYong Tivoli 2021 1.6L Mid Option (FWD);BHD 6,800;1.6;4;125;160;5 Seater;ssang-yong;bahrain
Haval H6 2021 Supreme Panoramic;BHD 8,200;2;4;197;170;5 Seater;haval;bahrain
Maxus G10 Cargo 2021 2.4L Cargo Van;BHD 7,500;2.4;4;140;160;2 Seater;maxus;bahrain
Hyundai Creta 2021 1.6L Top;BHD 8,403;1.6;4;121;169;5 Seater;hyundai;bahrain
Hyundai Tucson 2021 2.0L Standard (FWD);BHD 9,736;2;4;153;170;5 Seater;hyundai;bahrain
Nissan Kicks 2021 1.6 SL;BHD 7,495;1.6;4;118;180;5 Seater;nissan;bahrain
Skoda Octavia A8 2021 1.4 TSI Ambition;BHD 7,600;1.4;4;150;220;5 Seater;skoda;bahrain
Hyundai Tucson 2021 2.0L Base (FWD);BHD 8,659;2;4;153;170;5 Seater;hyundai;bahrain
Honda Civic 2021 1.6L DX;BHD 6,999;1.6;4;123;200;5 Seater;honda;bahrain
Changan CS75 2021 1.8T GDI Basic (2WD);BHD 6,800;1.8;4;177;180;5 Seater;changan;bahrain
Fiat 500X 2021 1.4T Cross;BHD 8,100;1.4;4;140;190;5 Seater;fiat;bahrain
Mitsubishi ASX 2021 2.0L GLX (2WD) Mid Option;BHD 7,500;2;4;150;193;5 Seater;mitsubishi;bahrain
Mitsubishi Eclipse Cross 2021 1.5T GLS (Mid Option);BHD 8,200;1.5;4;147;200;5 Seater;mitsubishi;bahrain
Nissan Urvan 2021 3-Seater Manual (4-Door);BHD 8,195;2.5;4;147;170;3 Seater;nissan;bahrain
GAC GS4 2021 1.5T GE;BHD 7,900;1.5;4;152;180;5 Seater;gac;bahrain
Fiat 500 2021 1.4L Lounge;BHD 7,400;1.4;4;100;182;4 Seater;fiat;bahrain
Nissan Urvan 2021 3-Seater Manual (5-Door);BHD 9,595;2.5;4;147;170;3 Seater;nissan;bahrain
SsangYong Tivoli 2021 1.6L Full Option (FWD);BHD 7,500;1.6;4;125;160;5 Seater;ssang-yong;bahrain
GAC GS4 2021 1.5T GS;BHD 6,950;1.5;4;152;180;5 Seater;gac;bahrain
Nissan Altima 2021 2.5 S;BHD 8,995;2.5;4;188;220;5 Seater;nissan;bahrain
Subaru XV 2021 2.0L Standard;BHD 8,810;2;4;150;194;5 Seater;subaru;bahrain
Changan CS75 2021 1.8T GDI Full Option (2WD);BHD 7,800;1.8;4;177;180;5 Seater;changan;bahrain
Chevrolet Equinox 2021 1.5T LS (FWD);BHD 8,500;1.5;4;170;190;5 Seater;chevrolet;bahrain
Renault Koleos 2021 2.5L PE (4WD);BHD 9,150;2.5;4;170;199;5 Seater;renault;bahrain
Fiat 500 2021 Convertible 1.4L Lounge;BHD 8,000;1.4;4;100;182;4 Seater;fiat;bahrain
Hyundai Tucson 2021 2.0L Mid (FWD);BHD 11,352;2;4;153;170;5 Seater;hyundai;bahrain
Toyota Yaris Sedan 2021 1.5L SE;BHD 6,200;1.5;4;105;175;5 Seater;toyota;bahrain
Renault Koleos 2021 2.5L PE;BHD 7,995;2.5;4;170;185;5 Seater;renault;bahrain
Toyota Hilux 2021 2.7L Double Cab GLX A/T (4x2);BHD 9,500;2.7;4;164;170;5 Seater;toyota;bahrain
Hyundai Elantra 2021 2.0L GLS;BHD 8,008;2;4;150;205;5 Seater;hyundai;bahrain
Skoda Octavia A8 2021 1.4 TSI Style;BHD 9,100;1.4;4;150;220;5 Seater;skoda;bahrain
Mitsubishi L200 2021 2.4L Double Cab GL (2WD);BHD 6,600;2.4;4;128;169;6 Seater;mitsubishi;bahrain
Nissan X-Trail 2021 S 2WD (5-Seater);BHD 8,595;2.5;4;169;170;5 Seater;nissan;bahrain
King Long Wide Body Passenger Van 2021 2.7L (14-Seater) Top;BHD 9,200;2.7;4;148;156;14 Seater;kinglong;bahrain
Mitsubishi L200 2021 2.4L Double Cab GLX (4WD);BHD 7,100;2.4;4;128;167;5 Seater;mitsubishi;bahrain
Maxus G10 7-Seater 2021 7 Seat MPV (Elite);BHD 8,900;2;4;221;190;7 Seater;maxus;bahrain
Toyota Camry 2021 2.5L LE (204 HP);BHD 9,240;2.5;4;204;195;5 Seater;toyota;bahrain
Peugeot 3008 2021 1.6T Active+;BHD 10,495;1.6;4;181;222;5 Seater;peugeot;bahrain
Toyota Hiace 2021 3.5L GL STD Roof Panel Van (3-Seater);BHD 8,820;3.5;4;277;160;3 Seater;toyota;bahrain
Mitsubishi L200 2021 2.5L Double Cab GL (2WD);BHD 7,100;2.5;4;136;167;5 Seater;mitsubishi;bahrain
Audi A1 2021 Attraction 1.4L (122 HP);BHD 9,100;1.4;4;122;203;4 Seater;audi;bahrain
Mitsubishi L200 2021 2.4L Double Cab GLX Diesel (4WD);BHD 8,400;2.4;4;136;167;5 Seater;mitsubishi;bahrain
Maxus G10 9-Seater 2021 9 Seat MPV (Standard);BHD 9,500;2.4;4;140;160;9 Seater;maxus;bahrain
Audi A3 Sedan 2021 Basic 30 1.0 TFSI (116 HP);BHD 9,900;1;3;116;211;5 Seater;audi;bahrain
SsangYong Rexton 2021 2.0T Basic (2WD);BHD 10,420;2;4;225;185;7 Seater;ssang-yong;bahrain
Toyota Camry 2021 2.5L GLE (204 HP);BHD 10,710;2.5;4;204;195;5 Seater;toyota;bahrain
GMC Terrain 2021 1.5T SLE (FWD);BHD 9,999;1.5;4;170;200;5 Seater;gmc;bahrain
Mitsubishi Pajero 2021 3.8L GLS 3 Door High;BHD 11,000;3.8;6;241;180;5 Seater;mitsubishi;bahrain
Peugeot 5008 2021 1.6T Active;BHD 11,395;1.6;4;180;219;7 Seater;peugeot;bahrain
Peugeot 308 2021 1.6L GT Line;BHD 10,495;1.6;4;163;188;5 Seater;peugeot;bahrain
Subaru XV 2021 2.0L-S EyeSight;BHD 9,600;2;4;150;194;5 Seater;subaru;bahrain
Audi A1 2021 Ambition 1.4L (122 HP);BHD 10,400;1.4;4;122;203;4 Seater;audi;bahrain
GAC GS8 2021 2.0T GL (2WD);BHD 8,350;2;4;198;200;7 Seater;gac;bahrain
Peugeot 3008 2021 1.6T Allure+;BHD 11,495;1.6;4;165;205;5 Seater;peugeot;bahrain
Audi A3 Sedan 2021 30 TFSI Sport (116 HP);BHD 10,300;1;3;116;211;5 Seater;audi;bahrain
Ford Edge 2021 Ambient;BHD 10,995;2;4;250;200;5 Seater;ford;bahrain
Maxus G10 7-Seater 2021 7 Seat MPV (Luxury);BHD 9,900;2;4;221;190;7 Seater;maxus;bahrain
GAC GS8 2021 2.0T GT (4WD);BHD 10,000;2;4;198;200;7 Seater;gac;bahrain
GAC GS8 2021 2.0T GL (4WD);BHD 9,000;2;4;198;200;7 Seater;gac;bahrain
Mazda CX-5 2021 2.0L Comfort (FWD);BHD 10,000;1.9;4;152;190;5 Seater;mazda;bahrain
Audi A3 Sedan 2021 30 TFSI (116 HP);BHD 10,300;1;3;116;211;5 Seater;audi;bahrain
Maxus V80 Cargo Van 2021 2.5L Cargo (M/T);BHD 9,900;2.5;4;136;160;3 Seater;maxus;bahrain
Ford Taurus 2021 3.5L V6 SE;BHD 10,895;3.5;6;288;200;5 Seater;ford;bahrain
Mazda 3 Sedan 2021 2.0L Avant;BHD 10,900;2;4;153;202;5 Seater;mazda;bahrain
Audi A3 Sedan 2021 Design 35 1.4 TFSI (150 HP);BHD 10,900;1.4;4;150;224;5 Seater;audi;bahrain
Mazda 3 Hatchback 2021 2.0L Intense;BHD 10,000;2;4;153;197;5 Seater;mazda;bahrain
Nissan X-Trail 2021 SV X-Treamer AWD (7-Seater);BHD 12,100;2.5;4;169;170;7 Seater;nissan;bahrain
Toyota Hiace 2021 2.7L Panel Van High Roof LWB;BHD 10,700;2.7;4;158;160;3 Seater;toyota;bahrain
Maxus V80 15-Seater 2021 2.5L Passenger Van (M/T);BHD 8,350;2.5;4;136;160;15 Seater;maxus;bahrain
Toyota Rav4 2021 2.5L 4WD GXR;BHD 11,760;2.5;4;176;200;5 Seater;toyota;bahrain
Toyota Innova 2021 2.7L Limited;BHD 10,815;2.7;4;164;170;7 Seater;toyota;bahrain
Honda Odyssey J 2021 2.4 EX;BHD 10,500;2.4;4;172;170;8 Seater;honda;bahrain
Audi A3 Sedan 2021 35 TFSI Sport (150 HP);BHD 10,900;1.4;4;150;224;5 Seater;audi;bahrain
Toyota Camry 2021 2.5L GLE (204 HP) w/ Sunroof;BHD 10,800;2.5;4;204;195;5 Seater;toyota;bahrain
Skoda Superb 2021 2.0 TSI Style;BHD 12,000;2;4;220;245;5 Seater;skoda;bahrain
Skoda Superb 2021 2.0 TSI L&K (AWD);BHD 13,000;2;4;268;250;5 Seater;skoda;bahrain
Toyota Fortuner 2021 2.7L EXR;BHD 11,300;2.7;4;164;180;7 Seater;toyota;bahrain
Jeep Cherokee 2021 2.4L Sport;BHD 11,000;2.4;4;184;175;5 Seater;jeep;bahrain
Skoda Superb 2021 1.5 TSI Ambition (AWD);BHD 11,500;1.5;4;150;220;5 Seater;skoda;bahrain
Mitsubishi Outlander 2021 3.0L GLS (7-Seater) High;BHD 11,200;3;6;227;205;7 Seater;mitsubishi;bahrain
Subaru Forester 2021 2.0i-S EyeSight;BHD 12,000;2;4;150;188;5 Seater;subaru;bahrain
Nissan Maxima 2021 3.5L S;BHD 11,595;3.5;6;300;211;5 Seater;nissan;bahrain
Audi Q2 2021 30 TFSI Basic (116 HP);BHD 11,000;1;3;116;190;5 Seater;audi;bahrain
Subaru Forester 2021 2.0i Base;BHD 10,050;2;4;150;188;5 Seater;subaru;bahrain
Subaru BRZ 2021 2.0L A/T Top;BHD 11,200;2;4;200;220;4 Seater;subaru;bahrain
SsangYong Rexton 2021 2.0T Mid Option (2WD);BHD 11,000;2;4;225;185;7 Seater;ssang-yong;bahrain
Toyota 86 2021 VTX;BHD 11,500;2;4;197;225;4 Seater;toyota;bahrain
Subaru Forester 2021 2.0i Mid Option;BHD 11,200;2;4;156;188;5 Seater;subaru;bahrain
Audi A3 Sedan 2021 Design 40 2.0 TFSI (190 HP);BHD 11,900;2;4;190;250;5 Seater;audi;bahrain
Audi A3 Sedan 2021 Sport 40 2.0 TFSI (190 HP);BHD 11,900;2;4;190;250;5 Seater;audi;bahrain
Toyota Rav4 2021 2.5L LE Hybrid AWD;BHD 12,180;2.5;4;219;200;5 Seater;toyota;bahrain
Mazda CX-5 2021 2.5L Prestige (AWD);BHD 11,900;2.5;4;187;192;5 Seater;mazda;bahrain
Audi Q2 2021 30 TFSI Sport (116 HP);BHD 11,500;1;3;116;190;5 Seater;audi;bahrain
SsangYong Rexton 2021 2.0T Full Option (2WD);BHD 12,000;2;4;225;185;7 Seater;ssang-yong;bahrain
Audi Q2 2021 30 TFSI Design (116 HP);BHD 11,500;1;3;116;190;5 Seater;audi;bahrain
Peugeot 3008 2021 1.6T GT Line;BHD 14,495;1.6;4;165;205;5 Seater;peugeot;bahrain
Haval H9 2021 Super Dignity;BHD 12,000;2;4;248;200;7 Seater;haval;bahrain
Honda Odyssey J 2021 2.4 EX V;BHD 12,800;2.4;4;172;170;7 Seater;honda;bahrain
Haval H9 2021 Comfort;BHD 10,599;2;4;248;200;7 Seater;haval;bahrain
Ford Explorer 2021 2.3L EcoBoost Limited AWD;BHD 19,000;2.3;4;300;180;7 Seater;ford;bahrain
Ford Explorer 2021 2.3L EcoBoost XLT (Base Option) AWD;BHD 14,495;2.3;4;300;180;7 Seater;ford;bahrain
Chevrolet Equinox 2021 2.0T Premier (AWD);BHD 12,100;2;4;252;200;5 Seater;chevrolet;bahrain
Ford Explorer 2021 2.3L EcoBoost XLT (Mid Option) AWD;BHD 17,000;2.3;4;300;180;7 Seater;ford;bahrain
Alfa Romeo Giulietta 2021 Super;BHD 12,500;1.4;4;170;220;5 Seater;alfa-romeo;bahrain
Audi Q2 2021 35 TFSI Design (150 HP);BHD 12,000;1.4;4;150;208;5 Seater;audi;bahrain
Audi Q3 2021 30 TFSI (150 HP);BHD 13,000;1.4;4;150;204;5 Seater;audi;bahrain
Subaru WRX 2021 2.0T Standard;BHD 12,500;2;4;265;240;5 Seater;subaru;bahrain
Toyota Land Cruiser Pick Up 2021 4.0L Single Cab;BHD 12,500;4;6;228;180;3 Seater;toyota;bahrain
Audi A1 2021 Ambition 1.4L (185 HP);BHD 13,100;1.4;4;185;227;4 Seater;audi;bahrain
Toyota Land Cruiser Pick Up 2021 4.0L Double Cab;BHD 12,500;4;6;228;180;6 Seater;toyota;bahrain
BMW 1 Series 2021 116i;BHD 12,500;1.5;3;109;195;5 Seater;bmw;bahrain
Toyota Land Cruiser Pick Up 2021 4.0L Hard Top;BHD 12,500;4;6;228;180;5 Seater;toyota;bahrain
Mazda CX-5 2021 2.5L Luxury (AWD);BHD 12,900;2.5;4;187;192;5 Seater;mazda;bahrain
Mazda 6 2021 2.5L Luxury;BHD 13,000;2.5;4;188;220;5 Seater;mazda;bahrain
